UC_AGENT_BASED
messagesSent
DSA-SDP
median
(19, 294)
(20, 284)
confidence interval lower bound
(1, 272)
(2, 224)
(3, 231)
(4, 238)
(5, 247)
(6, 256)
(7, 252)
(8, 266)
(9, 268)
(10, 267)
(11, 268)
(12, 267)
(13, 262)
(14, 274)
(15, 272)
(16, 272)
(17, 274)
(18, 271)
(19, 257)
(20, 249)
percentageOfVisitedNodes
DSA-SDP
median
(1, 58)
(2, 35)
(3, 26)
(4, 21)
(5, 17)
(6, 15)
(7, 13)
(8, 11)
(9, 10)
(10, 9)
(11, 9)
(12, 8)
(13, 7)
(14, 7)
(15, 7)
(16, 6)
(17, 6)
(18, 5)
(19, 5)
(20, 4)
confidence interval upper bound
(1, 60)
(2, 38)
(3, 27)
(4, 22)
(5, 18)
(6, 16)
(7, 14)
(8, 13)
(9, 11)
(10, 10)
(11, 9)
(12, 9)
(13, 8)
(14, 7)
(15, 7)
(16, 7)
(17, 6)
(18, 6)
(19, 5)
(20, 5)
confidence interval lower bound
(1, 57)
(2, 34)
(3, 25)
(4, 20)
(5, 16)
(6, 14)
(7, 12)
(8, 11)
(9, 10)
(10, 9)
(11, 8)
(12, 7)
(13, 7)
(14, 6)
(15, 6)
(16, 6)
(17, 5)
(18, 4)
(19, 4)
(20, 4)
CTS
median
(1, 98)
(2, 49)
(3, 36)
(4, 28)
(5, 23)
(6, 20)
(7, 17)
(8, 16)
(9, 14)
(10, 13)
(11, 11)
(12, 11)
(13, 10)
(14, 9)
(15, 9)
(16, 8)
(17, 8)
(18, 7)
(19, 7)
(20, 6)
confidence interval upper bound
(1, 98)
(2, 52)
(3, 37)
(4, 29)
(5, 25)
(6, 21)
(7, 18)
(8, 16)
(9, 14)
(10, 13)
(11, 12)
(12, 11)
(13, 10)
(14, 9)
(15, 9)
(16, 8)
(17, 8)
(18, 7)
(19, 7)
(20, 7)
confidence interval lower bound
(1, 96)
(2, 49)
(3, 35)
(4, 27)
(5, 22)
(6, 19)
(7, 16)
(8, 15)
(9, 14)
(10, 12)
(11, 11)
(12, 10)
(13, 9)
(14, 9)
(15, 8)
(16, 8)
(17, 7)
(18, 7)
(19, 6)
(20, 6)
CPU time
DSA-SDP
median
(1, 832)
(2, 1494)
(3, 2147)
(4, 2784)
(5, 3418)
(6, 4030)
(7, 4808)
(8, 5418)
(9, 6036)
(10, 6648)
(11, 7248)
(12, 7891)
(13, 8417)
(14, 9082)
(15, 9688)
(16, 10207)
(17, 10854)
(18, 11432)
(19, 12030)
(20, 12590)
confidence interval upper bound
(1, 848)
(2, 1519)
(3, 2182)
(4, 2829)
(5, 3471)
(6, 4115)
(7, 4873)
(8, 5471)
(9, 6130)
(10, 6725)
(11, 7302)
(12, 7983)
(13, 8524)
(14, 9186)
(15, 9761)
(16, 10376)
(17, 11066)
(18, 11591)
(19, 12149)
(20, 12745)
confidence interval lower bound
(1, 817)
(2, 1474)
(3, 2113)
(4, 2744)
(5, 3370)
(6, 3966)
(7, 4729)
(8, 5353)
(9, 5968)
(10, 6580)
(11, 7175)
(12, 7745)
(13, 8358)
(14, 8992)
(15, 9582)
(16, 10144)
(17, 10773)
(18, 11325)
(19, 11905)
(20, 12431)
CTS
median
(1, 45)
(2, 142)
(3, 179)
(4, 225)
(5, 304)
(6, 343)
(7, 416)
(8, 442)
(9, 459)
(10, 464)
(11, 502)
(12, 528)
(13, 527)
(14, 559)
(15, 598)
(16, 569)
(17, 582)
(18, 587)
(19, 574)
(20, 579)
confidence interval upper bound
(1, 49)
(2, 162)
(3, 224)
(4, 290)
(5, 352)
(6, 391)
(7, 460)
(8, 497)
(9, 540)
(10, 540)
(11, 596)
(12, 588)
(13, 622)
(14, 633)
(15, 668)
(16, 660)
(17, 671)
(18, 666)
(19, 673)
(20, 695)
confidence interval lower bound
(1, 43)
(2, 121)
(3, 166)
(4, 197)
(5, 234)
(6, 290)
(7, 350)
(8, 396)
(9, 422)
(10, 424)
(11, 460)
(12, 455)
(13, 480)
(14, 515)
(15, 513)
(16, 517)
(17, 518)
(18, 469)
(19, 512)
(20, 452)
UC_NDCS
messagesSent
DSA-SDP
median
(1, 24484)
(2, 24557)
(3, 23562)
(4, 23300)
(5, 23217)
(6, 23146)
(7, 22957)
(8, 22921)
(9, 22867)
(10, 22833)
(11, 22812)
(12, 22740)
(13, 22757)
(14, 22629)
(15, 22670)
(16, 22607)
(17, 22610)
(18, 22635)
(19, 22637)
(20, 22580)
confidence interval upper bound
(1, 26288)
(2, 25086)
(3, 23934)
(4, 23880)
(5, 23498)
(6, 23390)
(7, 23124)
(8, 23090)
(9, 22988)
(10, 22934)
(11, 22956)
(12, 22894)
(13, 22854)
(14, 22712)
(15, 22746)
(16, 22704)
(17, 22674)
(18, 22686)
(19, 22694)
(20, 22628)
confidence interval lower bound
(1, 23710)
(2, 23862)
(3, 23126)
(4, 22974)
(5, 23008)
(6, 22994)
(7, 22752)
(8, 22750)
(9, 22726)
(10, 22712)
(11, 22766)
(12, 22638)
(13, 22656)
(14, 22572)
(15, 22628)
(16, 22550)
(17, 22570)
(18, 22574)
(19, 22566)
(20, 22522)
CTS
median
(1, 563)
(2, 467)
(3, 481)
(4, 503)
(5, 503)
(6, 518)
(7, 515)
(8, 542)
(9, 545)
(10, 549)
(11, 558)
(12, 569)
(13, 574)
(14, 562)
(15, 557)
(16, 573)
(17, 561)
(18, 569)
(19, 542)
(20, 525)
confidence interval upper bound
(1, 592)
(2, 492)
(3, 504)
(4, 528)
(5, 528)
(6, 542)
(7, 544)
(8, 570)
(9, 584)
(10, 582)
(11, 584)
(12, 602)
(13, 600)
(14, 602)
(15, 594)
(16, 606)
(17, 602)
(18, 610)
(19, 600)
(20, 590)
confidence interval lower bound
(1, 520)
(2, 452)
(3, 462)
(4, 478)
(5, 492)
(6, 502)
(7, 496)
(8, 524)
(9, 526)
(10, 518)
(11, 538)
(12, 546)
(13, 544)
(14, 546)
(15, 528)
(16, 536)
(17, 504)
(18, 516)
(19, 500)
(20, 474)
networkLoad
DSA-SDP
median
(1, 195872)
(2, 196456)
(3, 188496)
(4, 186400)
(5, 185736)
(6, 185168)
(7, 183656)
(8, 183368)
(9, 182936)
(10, 182664)
(11, 182496)
(12, 181920)
(13, 182056)
(14, 181032)
(15, 181360)
(16, 180856)
(17, 180880)
(18, 181080)
(19, 181096)
(20, 180640)
confidence interval upper bound
(1, 210304)
(2, 200688)
(3, 191472)
(4, 191040)
(5, 187984)
(6, 187120)
(7, 184992)
(8, 184720)
(9, 183904)
(10, 183472)
(11, 183648)
(12, 183152)
(13, 182832)
(14, 181696)
(15, 181968)
(16, 181632)
(17, 181392)
(18, 181488)
(19, 181552)
(20, 181024)
confidence interval lower bound
(1, 189680)
(2, 190896)
(3, 185008)
(4, 183792)
(5, 184064)
(6, 183952)
(7, 182016)
(8, 182000)
(9, 181808)
(10, 181696)
(11, 182128)
(12, 181104)
(13, 181248)
(14, 180576)
(15, 181024)
(16, 180400)
(17, 180560)
(18, 180592)
(19, 180528)
(20, 180176)
CTS
median
(1, 222801)
(2, 247894)
(3, 254139)
(4, 270307)
(5, 280947)
(6, 291407)
(7, 288006)
(8, 305693)
(9, 310794)
(10, 313406)
(11, 313373)
(12, 326425)
(13, 326639)
(14, 338478)
(15, 318734)
(16, 329091)
(17, 321401)
(18, 323262)
(19, 319769)
(20, 303318)
confidence interval upper bound
(1, 228119)
(2, 252667)
(3, 269327)
(4, 284791)
(5, 299307)
(6, 301809)
(7, 302735)
(8, 320408)
(9, 330885)
(10, 335618)
(11, 337882)
(12, 342096)
(13, 344432)
(14, 350644)
(15, 338607)
(16, 347958)
(17, 345876)
(18, 354729)
(19, 351471)
(20, 343735)
confidence interval lower bound
(1, 216585)
(2, 243908)
(3, 249794)
(4, 260845)
(5, 265890)
(6, 276185)
(7, 276634)
(8, 294189)
(9, 287807)
(10, 299324)
(11, 299430)
(12, 309467)
(13, 314986)
(14, 317125)
(15, 307339)
(16, 301756)
(17, 299673)
(18, 289383)
(19, 282006)
(20, 271000)
NCCCs
DSA-SDP
median
(1, 22227)
(2, 21328)
(3, 20071)
(4, 20070)
(5, 20016)
(6, 19322)
(7, 18158)
(8, 18416)
(9, 18101)
(10, 17558)
(11, 19279)
(12, 20149)
(13, 18465)
(14, 15993)
(15, 17357)
(16, 15791)
(17, 16899)
(18, 15673)
(19, 16497)
(20, 17056)
confidence interval upper bound
(1, 23910)
(2, 23302)
(3, 22199)
(4, 21955)
(5, 22618)
(6, 22172)
(7, 20177)
(8, 20761)
(9, 21036)
(10, 20502)
(11, 23522)
(12, 24209)
(13, 21734)
(14, 20284)
(15, 21311)
(16, 18910)
(17, 22115)
(18, 20330)
(19, 21149)
(20, 21235)
confidence interval lower bound
(1, 20792)
(2, 19358)
(3, 18804)
(4, 18599)
(5, 16862)
(6, 17128)
(7, 15817)
(8, 15579)
(9, 15439)
(10, 15436)
(11, 17540)
(12, 16964)
(13, 15076)
(14, 12282)
(15, 14593)
(16, 12806)
(17, 14006)
(18, 14573)
(19, 14432)
(20, 14063)
CTS
median
(1, 281)
(2, 233)
(3, 240)
(4, 251)
(5, 251)
(6, 259)
(7, 257)
(8, 271)
(9, 272)
(10, 274)
(11, 279)
(12, 284)
(13, 287)
(14, 281)
(15, 278)
(16, 286)
(17, 280)
(18, 284)
(19, 271)
(20, 262)
confidence interval upper bound
(1, 296)
(2, 246)
(3, 252)
(4, 264)
(5, 264)
(6, 271)
(7, 272)
(8, 285)
(9, 292)
(10, 291)
(11, 292)
(12, 301)
(13, 300)
(14, 301)
(15, 297)
(16, 303)
(17, 301)
(18, 305)
(19, 300)
(20, 295)
confidence interval lower bound
(1, 260)
(2, 226)
(3, 231)
(4, 239)
(5, 246)
(6, 251)
(7, 248)
(8, 262)
(9, 263)
(10, 259)
(11, 269)
(12, 273)
(13, 272)
(14, 273)
(15, 264)
(16, 268)
