[Setup] node dataset path: datasets/lfb-records-jan2009-dec2020.csv
[Setup] station dataset path: datasets/lfb-stations-dec2020.csv
[Benchmark] maximum agents: 10
[Benchmark] node-to-agent ratios: [1.0, 2.0, 4.0, 6.0, 8.0, 10.0]
[Benchmark] algorithms: [DSA-SDP, FMS-ADVP, CTS]
[Benchmark] replicates: 100
[Benchmark] dynamism type: 1
[Benchmark] problem classes: [UC_AGENT_BASED]
[Benchmark] session STARTED

[    1] DSA-SDP [messagesSent: 158.0, networkLoad: 1264.0, NCCCs: 167.0, medianCoalitionSize: 1.0, percentageOfVisitedNodes: 66.66667, CPU time (ms): 144.0]
[    1] FMS-ADVP [messagesSent: 3456.0, networkLoad: 28720.0, NCCCs: 125003.0, medianCoalitionSize: 1.0, percentageOfVisitedNodes: 88.88889, CPU time (ms): 2059.0]
[    1] CTS [messagesSent: 42.0, networkLoad: 1037.0, NCCCs: 21.0, medianCoalitionSize: 2.0, percentageOfVisitedNodes: 77.77778, CPU time (ms): 20.0]
[    2] DSA-SDP [messagesSent: 66.0, networkLoad: 528.0, NCCCs: 46.0, medianCoalitionSize: 1.0, percentageOfVisitedNodes: 50.0, CPU time (ms): 8.0]
[    2] FMS-ADVP [messagesSent: 2244.0, networkLoad: 18568.0, NCCCs: 48662.0, medianCoalitionSize: 1.0, percentageOfVisitedNodes: 50.0, CPU time (ms): 508.0]
[    2] CTS [messagesSent: 28.0, networkLoad: 863.0, NCCCs: 14.0, medianCoalitionSize: 1.0, percentageOfVisitedNodes: 87.5, CPU time (ms): 3.0]
[    3] DSA-SDP [messagesSent: 46.0, networkLoad: 368.0, NCCCs: 80.0, medianCoalitionSize: 1.0, percentageOfVisitedNodes: 57.14286, CPU time (ms): 11.0]
[    3] FMS-ADVP [messagesSent: 2082.0, networkLoad: 17344.0, NCCCs: 20010.0, medianCoalitionSize: 2.0, percentageOfVisitedNodes: 71.42857, CPU time (ms): 182.0]
[    3] CTS [messagesSent: 18.0, networkLoad: 426.0, NCCCs: 9.0, medianCoalitionSize: 1.0, percentageOfVisitedNodes: 57.14286, CPU time (ms): 20.0]
[    4] DSA-SDP [messagesSent: 94.0, networkLoad: 752.0, NCCCs: 76.0, medianCoalitionSize: 1.0, percentageOfVisitedNodes: 88.88889, CPU time (ms): 7.0]
[    4] FMS-ADVP [messagesSent: 4624.0, networkLoad: 38392.0, NCCCs: 141811.0, medianCoalitionSize: 2.0, percentageOfVisitedNodes: 88.88889, CPU time (ms): 731.0]
[    4] CTS [messagesSent: 56.0, networkLoad: 1411.0, NCCCs: 28.0, medianCoalitionSize: 2.0, percentageOfVisitedNodes: 100.0, CPU time (ms): 3.0]
[    5] DSA-SDP [messagesSent: 4.0, networkLoad: 32.0, NCCCs: 5.0, medianCoalitionSize: 2.0, percentageOfVisitedNodes: 100.0, CPU time (ms): 0.0]
[    5] FMS-ADVP [messagesSent: 36.0, networkLoad: 328.0, NCCCs: 15.0, medianCoalitionSize: 1.0, percentageOfVisitedNodes: 100.0, CPU time (ms): 0.0]
[    5] CTS [messagesSent: 6.0, networkLoad: 104.0, NCCCs: 3.0, medianCoalitionSize: 1.5, percentageOfVisitedNodes: 100.0, CPU time (ms): 0.0]
[    6] DSA-SDP [messagesSent: 102.0, networkLoad: 816.0, NCCCs: 76.0, medianCoalitionSize: 1.0, percentageOfVisitedNodes: 44.444447, CPU time (ms): 12.0]
[    6] FMS-ADVP [messagesSent: 4022.0, networkLoad: 33304.0, NCCCs: 147599.0, medianCoalitionSize: 1.0, percentageOfVisitedNodes: 66.66667, CPU time (ms): 513.0]
[    6] CTS [messagesSent: 20.0, networkLoad: 530.0, NCCCs: 10.0, medianCoalitionSize: 1.0, percentageOfVisitedNodes: 44.444447, CPU time (ms): 5.0]
[    7] DSA-SDP [messagesSent: 68.0, networkLoad: 544.0, NCCCs: 19.0, medianCoalitionSize: 1.0, percentageOfVisitedNodes: 25.0, CPU time (ms): 7.0]
[    7] FMS-ADVP [messagesSent: 2318.0, networkLoad: 19176.0, NCCCs: 52749.0, medianCoalitionSize: 1.0, percentageOfVisitedNodes: 25.0, CPU time (ms): 229.0]
[    7] CTS [messagesSent: 18.0, networkLoad: 180.0, NCCCs: 9.0, medianCoalitionSize: 1.0, percentageOfVisitedNodes: 12.5, CPU time (ms): 6.0]
[    8] DSA-SDP [messagesSent: 22.0, networkLoad: 176.0, NCCCs: 12.0, medianCoalitionSize: 1.0, percentageOfVisitedNodes: 40.0, CPU time (ms): 14.0]
[    8] FMS-ADVP [messagesSent: 662.0, networkLoad: 5608.0, NCCCs: 1368.0, medianCoalitionSize: 2.0, percentageOfVisitedNodes: 100.0, CPU time (ms): 7.0]
[    8] CTS [messagesSent: 12.0, networkLoad: 318.0, NCCCs: 6.0, medianCoalitionSize: 1.0, percentageOfVisitedNodes: 80.0, CPU time (ms): 2.0]
[    9] DSA-SDP [messagesSent: 2.0, networkLoad: 16.0, NCCCs: 3.0, medianCoalitionSize: 1.0, percentageOfVisitedNodes: 50.0, CPU time (ms): 1.0]
[    9] FMS-ADVP [messagesSent: 32.0, networkLoad: 288.0, NCCCs: 21.0, medianCoalitionSize: 1.0, percentageOfVisitedNodes: 0.0, CPU time (ms): 1.0]
[    9] CTS [messagesSent: 6.0, networkLoad: 60.0, NCCCs: 3.0, medianCoalitionSize: 1.0, percentageOfVisitedNodes: 50.0, CPU time (ms): 0.0]
[   10] DSA-SDP [messagesSent: 42.0, networkLoad: 336.0, NCCCs: 38.0, medianCoalitionSize: 1.0, percentageOfVisitedNodes: 57.14286, CPU time (ms): 3.0]
[   10] FMS-ADVP [messagesSent: 1380.0, networkLoad: 11440.0, NCCCs: 17139.0, medianCoalitionSize: 2.0, percentageOfVisitedNodes: 28.57143, CPU time (ms): 111.0]
